"","id","sitenum","steady","colnum","mins","mags","magsdiv","recov.rate","recov.time","dpy1","dpy2"
"162","000000000000000000a1",162,311.666666666667,13,266,45.6666666666667,0.146524064171123,7.28571428571426,6.26797385620918,0,0
"163","000000000000000000a2",163,304.666666666667,13,283,21.6666666666667,0.0711159737417944,5.10000000000002,4.24836601307188,0,0
"164","000000000000000000a3",164,312.333333333333,13,218,94.3333333333333,0.302027748132337,14.7,6.4172335600907,0,1
"165","000000000000000000a4",165,326.666666666667,13,261,65.6666666666667,0.201020408163265,24.9999999999999,2.62666666666668,0,1
"166","000000000000000000a5",166,299,12,211,88,0.294314381270903,12.9285714285714,6.80662983425414,1,0
"167","000000000000000000a6",167,301,12,206,95,0.315614617940199,27,3.51851851851852,1,0
"168","000000000000000000a7",168,308,12,260,48,0.155844155844156,11.4285714285714,4.2,0,0
"169","000000000000000000a8",169,195.666666666667,12,190,5.66666666666666,0.0289608177172061,4.99999999999997,1.13333333333334,0,0
"170","000000000000000000a9",170,312,12,162,150,0.480769230769231,25.4285714285714,5.89887640449438,1,0
"171","000000000000000000aa",171,318.333333333333,13,193,125.333333333333,0.393717277486911,18.7428571428571,6.68699186991871,0,1
"172","000000000000000000ab",172,297,13,153,144,0.484848484848485,21.2857142857143,6.76510067114094,0,1
"173","000000000000000000ac",173,292.666666666667,12,169,123.666666666667,0.42255125284738,19.4642857142857,6.35351681957186,1,0
"174","000000000000000000ad",174,302,12,202,100,0.33112582781457,16.8214285714286,5.9447983014862,1,0
"175","000000000000000000ae",175,330.333333333333,12,223,107.333333333333,0.324924318869828,15.2857142857143,7.02180685358255,1,0
"176","000000000000000000af",176,311.333333333333,13,227,84.3333333333333,0.270877944325482,14.5,5.81609195402298,0,1
"177","000000000000000000b0",177,292.333333333333,12,254,38.3333333333333,0.131128848346636,13,2.94871794871795,1,0
"178","000000000000000000b1",178,264.666666666667,12,250,14.6666666666667,0.0554156171284635,7.89999999999999,1.85654008438819,0,0
"179","000000000000000000b2",179,223.333333333333,12,203,20.3333333333333,0.091044776119403,6.99999999999993,2.90476190476193,0,0
"180","000000000000000000b3",180,288,12,280,8,0.0277777777777778,7.99999999999996,1.00000000000001,0,0
