plot,loc,size,RO,BO,WO,CO
1 54,W10,2,0,0,0,0
1 54,W10,3,0,0,0,0
1 56,N5,1,1,0,0,0
1 56,N5,2,0,0,0,0
1 56,N5,3,0,0,0,0
1 56,N10,1,1,0,0,0
1 56,N10,2,0,0,0,0
1 56,N10,3,0,0,0,0
1 56,E5,1,1,0,0,0
1 56,E5,2,0,0,0,0
1 56,E5,3,0,0,0,0
1 56,E10,1,1,0,0,0
1 56,E10,2,0,0,0,0
1 56,E10,3,0,0,0,0
1 56,S5,1,1,0,0,0
1 56,S5,2,0,0,0,0
1 56,S5,3,0,0,0,0
1 56,S10,1,1,0,0,0
1 56,S10,2,0,0,0,0
1 56,S10,3,0,0,0,0
1 56,W5,1,1,0,0,0
1 56,W5,2,0,0,0,0
1 56,W5,3,0,0,0,0
1 56,W10,1,1,0,0,0
1 56,W10,2,0,0,0,0
1 56,W10,3,0,0,0,0
1 65,N5,1,0,0,0,0
1 65,N5,2,0,0,0,0
1 65,N5,3,0,0,0,0
1 65,N10,1,0,0,0,0
1 65,N10,2,0,0,0,0
1 65,N10,3,0,0,0,0
1 65,E5,1,0,0,0,0
1 65,E5,2,0,0,0,0
1 65,E5,3,0,0,0,0
1 65,E10,1,0,0,0,0
1 65,E10,2,0,0,0,0
1 65,E10,3,0,0,0,0
1 65,S5,1,0,0,0,0
1 65,S5,2,0,0,0,0
1 65,S5,3,0,0,0,0
1 65,S10,1,0,0,0,0
1 65,S10,2,0,0,0,0
1 65,S10,3,0,0,0,0
1 65,W5,1,0,0,0,0
1 65,W5,2,0,0,0,0
1 65,W5,3,0,0,0,0
1 65,W10,1,0,0,0,0
1 65,W10,2,0,0,0,0
1 65,W10,3,0,0,0,0
1 67,N5,1,1,0,0,0
1 67,N5,2,0,0,0,0
1 67,N5,3,0,0,0,0
1 67,N10,1,0,0,0,0
1 67,N10,2,0,0,0,0
1 67,N10,3,0,0,0,0
1 67,E5,1,1,0,0,0
1 67,E5,2,0,0,0,0
1 67,E5,3,0,0,0,0
1 67,E10,1,0,0,0,0
1 67,E10,2,0,0,0,0
1 67,E10,3,0,0,0,0
1 67,S5,1,0,0,0,0
1 67,S5,2,0,0,0,0
1 67,S5,3,0,0,0,0
1 67,S10,1,0,0,0,0
1 67,S10,2,0,0,0,0
1 67,S10,3,0,0,0,0
1 67,W5,1,1,0,0,0
1 67,W5,2,0,0,0,0
1 67,W5,3,0,0,0,0
1 67,W10,1,0,0,0,0
1 67,W10,2,0,0,0,0
1 67,W10,3,0,0,0,0
1 69,N5,1,0,0,0,0
1 69,N5,2,0,0,0,0
1 69,N5,3,0,0,0,0
1 69,N10,1,0,0,0,0
1 69,N10,2,0,0,0,0
1 69,N10,3,0,0,0,0
1 69,E5,1,0,0,0,0
1 69,E5,2,0,0,0,0
1 69,E5,3,0,0,0,0
1 69,E10,1,0,1,0,0
1 69,E10,2,0,0,0,0
1 69,E10,3,0,0,0,0
1 69,S5,1,0,1,0,0
1 69,S5,2,0,0,0,0
1 69,S5,3,0,0,0,0
1 69,S10,1,0,1,0,0
1 69,S10,2,1,0,0,0
1 69,S10,3,0,0,0,0
1 69,W5,1,0,0,0,0
1 69,W5,2,1,0,0,0
1 69,W5,3,0,0,0,0
1 69,W10,1,0,0,0,0
1 69,W10,2,1,0,0,0
1 69,W10,3,0,0,0,0
1 71,N5,1,0,0,0,0
1 71,N5,2,0,0,0,0
1 71,N5,3,0,0,0,0
1 71,N10,1,0,0,0,0
1 71,N10,2,0,0,0,0
1 71,N10,3,0,0,0,0
1 71,E5,1,0,0,0,0
1 71,E5,2,0,0,0,0
1 71,E5,3,0,0,0,0
1 71,E10,1,0,0,0,0
1 71,E10,2,0,0,0,0
1 71,E10,3,0,0,0,0
1 71,S5,1,0,0,0,0
1 71,S5,2,1,0,0,0
1 71,S5,3,0,0,0,0
1 71,S10,1,0,0,0,0
1 71,S10,2,0,0,0,0
1 71,S10,3,0,0,0,0
1 71,W5,1,0,0,1,0
1 71,W5,2,0,0,1,0
1 71,W5,3,0,0,0,0
1 71,W10,1,0,0,0,0
1 71,W10,2,0,0,0,0
1 71,W10,3,0,0,0,0
1 72,N5,1,1,0,0,0
1 72,N5,2,0,0,1,0
1 72,N5,3,0,0,0,0
1 72,N10,1,0,0,0,0
1 72,N10,2,0,0,0,0
1 72,N10,3,0,0,0,0
1 72,E5,1,1,0,0,0
1 72,E5,2,1,0,0,0
1 72,E5,3,0,0,0,0
1 72,E10,1,0,0,0,0
1 72,E10,2,0,0,0,0
1 72,E10,3,0,0,0,0
1 72,S5,1,1,0,0,0
1 72,S5,2,0,0,0,0
1 72,S5,3,0,0,0,0
1 72,S10,1,0,0,0,0
1 72,S10,2,0,0,0,0
1 72,S10,3,0,0,0,0
1 72,W5,1,0,0,0,0
1 72,W5,2,0,0,0,0
1 72,W5,3,0,0,0,0
1 72,W10,1,0,0,0,0
1 72,W10,2,0,0,0,0
1 72,W10,3,0,0,0,0
1 73,N5,1,0,0,0,0
1 73,N5,2,0,0,0,0
1 73,N5,3,0,0,0,0
1 73,N10,1,0,0,0,0
1 73,N10,2,0,0,0,0
1 73,N10,3,0,0,0,0
1 73,E5,1,0,0,0,0
1 73,E5,2,0,0,0,0
1 73,E5,3,0,0,0,0
1 73,E10,1,0,0,0,0
1 73,E10,2,0,0,0,0
1 73,E10,3,0,0,0,0
1 73,S5,1,1,0,0,0
1 73,S5,2,0,0,0,0
1 73,S5,3,0,0,0,0
1 73,S10,1,1,0,0,0
1 73,S10,2,0,0,0,0
1 73,S10,3,0,0,0,0
1 73,W5,1,1,0,0,0
1 73,W5,2,0,0,0,0
1 73,W5,3,0,0,0,0
1 73,W10,1,1,0,0,0
1 73,W10,2,0,0,0,0
1 73,W10,3,0,0,0,0
1 75,N5,1,0,0,0,0
1 75,N5,2,0,0,0,0
1 75,N5,3,0,0,0,0
1 75,N10,1,0,0,0,0
1 75,N10,2,0,0,0,0
1 75,N10,3,0,0,0,0
1 75,E5,1,1,0,0,0
1 75,E5,2,0,0,0,0
1 75,E5,3,0,0,0,0
1 75,E10,1,1,0,0,0
1 75,E10,2,0,0,0,0
1 75,E10,3,0,0,0,0
1 75,S5,1,0,0,0,0
1 75,S5,2,0,0,0,0
1 75,S5,3,0,0,0,0
1 75,S10,1,1,0,0,0
1 75,S10,2,0,0,0,0
1 75,S10,3,0,0,0,0
1 75,W5,1,1,0,0,0
1 75,W5,2,0,0,0,0
1 75,W5,3,0,0,0,0
1 75,W10,1,0,0,0,0
1 75,W10,2,0,0,0,0
1 75,W10,3,0,0,0,0
1 80,N5,1,0,0,1,0
1 80,N5,2,0,0,0,0
1 80,N5,3,0,0,0,0
1 80,N10,1,0,0,0,0
1 80,N10,2,0,0,1,0
1 80,N10,3,0,0,0,0
1 80,E5,1,0,0,1,0
1 80,E5,2,0,0,0,0
1 80,E5,3,0,0,0,0
1 80,E10,1,0,0,1,0
1 80,E10,2,0,0,1,0
1 80,E10,3,0,0,0,0
1 80,S5,1,1,0,1,0
1 80,S5,2,0,0,0,0
1 80,S5,3,0,0,0,0
1 80,S10,1,1,0,0,0
1 80,S10,2,0,0,0,0
1 80,S10,3,0,0,0,0
1 80,W5,1,1,0,1,0
1 80,W5,2,0,0,1,0
1 80,W5,3,0,0,0,0
1 80,W10,1,0,0,1,0
1 80,W10,2,0,0,0,0
1 80,W10,3,0,0,0,0
